trade_date,ts_code,close,settle,vol,amount,oi
20210322,AL2105.SHF,17535.0,17535.0,335915.0,2945762.0,240775.0
20210322,AL2105.SHF,17535.0,17535.0,335915.0,2945762.0,240775.0
20210319,AL2105.SHF,17415.0,17410.0,318942.0,2776728.0,232436.0
20210319,AL2105.SHF,17415.0,17410.0,318942.0,2776728.0,232436.0
20210318,AL2105.SHF,17475.0,17690.0,352965.0,3122767.0,254945.0
20210318,AL2105.SHF,17475.0,17690.0,352965.0,3122767.0,254945.0
20210317,AL2105.SHF,17710.0,17620.0,255193.0,2248690.0,259093.0
20210317,AL2105.SHF,17710.0,17620.0,255193.0,2248690.0,259093.0
20210316,AL2105.SHF,17575.0,17785.0,404273.0,3595916.0,254083.0
20210316,AL2105.SHF,17575.0,17785.0,404273.0,3595916.0,254083.0
20210315,AL2104.SHF,17650.0,17530.0,241203.0,2114376.0,179533.0
20210312,AL2104.SHF,17310.0,17370.0,217527.0,1889301.0,182802.0
20210311,AL2104.SHF,17530.0,17355.0,236137.0,2049248.0,192804.0
20210310,AL2104.SHF,17185.0,17090.0,245062.0,2094352.0,184914.0
20210309,AL2104.SHF,16990.0,17195.0,259953.0,2235224.0,185646.0
20210308,AL2104.SHF,17260.0,17360.0,272107.0,2362129.0,192979.0
20210305,AL2104.SHF,17245.0,17230.0,387498.0,3338647.0,198650.0
20210304,AL2104.SHF,17130.0,17540.0,436036.0,3824673.0,203818.0
20210303,AL2104.SHF,17640.0,17415.0,402630.0,3506125.0,206572.0
20210302,AL2104.SHF,16890.0,16935.0,272552.0,2308075.0,190051.0
20210301,AL2104.SHF,17020.0,17085.0,422687.0,3610938.0,194587.0
20210226,AL2104.SHF,17465.0,17400.0,472973.0,4115047.0,216438.0
20210225,AL2104.SHF,17480.0,17230.0,439824.0,3789862.0,225681.0
20210224,AL2104.SHF,16630.0,16640.0,235683.0,1961437.0,208263.0
20210223,AL2104.SHF,16690.0,16710.0,272612.0,2278242.0,209647.0
20210222,AL2104.SHF,16735.0,16690.0,323511.0,2700474.0,213047.0
20210219,AL2103.SHF,16485.0,16530.0,147864.0,1222122.0,133572.0
20210218,AL2103.SHF,16510.0,16350.0,112248.0,917879.0,147101.0
20210210,AL2103.SHF,15900.0,15860.0,150061.0,1190001.0,151166.0
20210209,AL2103.SHF,15865.0,15850.0,165345.0,1310654.0,158397.0
20210208,AL2103.SHF,15780.0,15675.0,176832.0,1386137.0,171227.0
20210205,AL2103.SHF,15555.0,15455.0,200609.0,1550223.08,174710.0
20210204,AL2103.SHF,15280.0,15175.0,192686.0,1462309.0,168558.0
20210203,AL2103.SHF,14965.0,14985.0,142647.0,1069063.0,167214.0
20210202,AL2103.SHF,14945.0,15095.0,201240.0,1519307.0,165232.0
20210201,AL2103.SHF,15260.0,15200.0,247478.0,1881210.0,174047.0
20210129,AL2103.SHF,15005.0,14930.0,220410.0,1645662.0,164633.0
20210128,AL2103.SHF,14815.0,14810.0,208964.0,1547527.1,164641.0
20210127,AL2103.SHF,14885.0,14875.0,127822.0,950975.6175,169560.0
20210126,AL2103.SHF,14845.0,14880.0,157253.0,1170089.0825,164626.0
20210125,AL2103.SHF,14945.0,14960.0,211119.0,1579687.0,159837.0
20210122,AL2103.SHF,14905.0,14970.0,201780.0,1510570.0,155111.0
20210121,AL2103.SHF,14975.0,14890.0,179953.0,1340188.0,164462.0
20210120,AL2103.SHF,14805.0,14725.0,159445.0,1174089.0,152232.0
20210119,AL2103.SHF,14745.0,14825.0,160403.0,1189135.0,147752.0
20210118,AL2103.SHF,14940.0,14930.0,157664.0,1177166.0,144865.0
20210115,AL2102.SHF,14865.0,14860.0,112849.0,838475.0,100388.0
20210114,AL2102.SHF,14795.0,14720.0,135802.0,999725.0,103423.0
20210113,AL2102.SHF,14755.0,14855.0,147153.0,1093281.0,107083.0
20210112,AL2102.SHF,14955.0,14920.0,157396.0,1174369.0,106166.0
20210111,AL2102.SHF,15010.0,15160.0,194965.0,1478012.0,110112.0
20210108,AL2102.SHF,15340.0,15420.0,204489.0,1576617.0,111591.0
20210107,AL2102.SHF,15320.0,15305.0,162494.0,1243722.0,115837.0
20210106,AL2102.SHF,15400.0,15395.0,133705.0,1029501.0,117458.0
20210105,AL2102.SHF,15370.0,15455.0,151010.0,1166956.0,116640.0
20210104,AL2102.SHF,15430.0,15300.0,130932.0,1001752.46,115841.0
20201231,AL2102.SHF,15460.0,15475.0,155479.0,1203335.1575,112085.0
20201230,AL2102.SHF,15490.0,15475.0,176995.0,1369672.0,113464.0
20201229,AL2102.SHF,15365.0,15475.0,211075.0,1633648.16,116697.0
20201228,AL2102.SHF,15565.0,15755.0,178558.0,1406867.76,117590.0
20201225,AL2102.SHF,15900.0,15925.0,133440.0,1062797.0,111777.0
20201224,AL2102.SHF,15940.0,15855.0,138867.0,1101117.0,112782.0
20201223,AL2101.SHF,15890.0,15875.0,107448.0,853047.0,79607.0
20201222,AL2101.SHF,15840.0,16090.0,183468.0,1476160.0,86874.0
20201221,AL2101.SHF,16280.0,16425.0,204999.0,1683668.0,97684.0
20201218,AL2101.SHF,16780.0,16670.0,170794.0,1423865.0,113882.0
20201217,AL2101.SHF,16515.0,16465.0,119875.0,986981.0,116477.0
20201216,AL2101.SHF,16370.0,16320.0,136131.0,1111073.0,112974.0
20201215,AL2101.SHF,16230.0,16275.0,137651.0,1120361.0,118752.0
20201214,AL2101.SHF,16315.0,16275.0,188139.0,1531189.0,123833.0
20201211,AL2101.SHF,16110.0,16385.0,256492.0,2101512.0,124782.0
20201210,AL2101.SHF,16335.0,16215.0,194846.0,1579948.0,133982.0
20201209,AL2101.SHF,15955.0,15990.0,175205.0,1400773.0,132579.0
20201208,AL2101.SHF,16070.0,16135.0,158796.0,1281124.0,133101.0
20201207,AL2101.SHF,16075.0,16235.0,235946.0,1915348.512,134820.0
20201204,AL2101.SHF,16350.0,16180.0,287116.0,2323074.0,141881.0
20201203,AL2101.SHF,16170.0,16485.0,276209.0,2277211.132,145883.0
20201202,AL2101.SHF,16835.0,16820.0,215233.0,1810584.322,159091.0
20201201,AL2101.SHF,16615.0,16635.0,267947.0,2229167.375,155680.0
20201130,AL2101.SHF,16485.0,16335.0,239978.0,1960271.8075,162310.0
20201127,AL2101.SHF,16090.0,16015.0,199238.0,1595585.825,159177.0
20201126,AL2012.SHF,16005.0,15975.0,86647.0,692287.9025,90067.0
20201125,AL2012.SHF,16060.0,15970.0,160974.0,1285732.0,109330.0
20201124,AL2012.SHF,15880.0,15800.0,130477.0,1011570.0,119342.0
20201123,AL2012.SHF,15865.0,15885.0,126179.0,1002216.0,133136.0
20201120,AL2012.SHF,15960.0,15815.0,114755.0,907496.0,140392.0
20201119,AL2012.SHF,15755.0,15805.0,174630.0,1380156.265,143307.0
20201118,AL2012.SHF,15785.0,15590.0,146544.0,1142433.0,156575.0
20201117,AL2012.SHF,15390.0,15380.0,102820.0,790715.0,151407.0
20201116,AL2012.SHF,15390.0,15470.0,153250.0,1185353.165,154987.0
20201113,AL2012.SHF,15530.0,15440.0,140184.0,1082483.0,158604.0
20201112,AL2012.SHF,15350.0,15260.0,120382.0,918694.0,157538.0
20201111,AL2012.SHF,15180.0,15045.0,124525.0,936981.0,155070.0
20201110,AL2012.SHF,14945.0,14945.0,141719.0,1059149.0,139459.0
20201109,AL2012.SHF,14870.0,14905.0,117674.0,877022.0,137200.0
20201106,AL2012.SHF,14845.0,14815.0,73800.0,546718.0,136671.0
20201105,AL2012.SHF,14850.0,14790.0,87249.0,645395.0,138568.0
20201104,AL2012.SHF,14750.0,14785.0,136012.0,1005785.0,131436.0
20201103,AL2012.SHF,14760.0,14805.0,128265.0,949632.0,136930.0
20201102,AL2012.SHF,14825.0,14665.0,214401.0,1572274.0,135847.0
20201030,AL2012.SHF,14370.0,14400.0,111205.0,800701.0,106264.0
20201029,AL2012.SHF,14440.0,14360.0,136356.0,979252.0,102115.0
20201028,AL2011.SHF,14585.0,14620.0,85216.0,622980.0,84940.0
20201027,AL2011.SHF,14715.0,14755.0,73095.0,539278.0,100620.0
20201026,AL2011.SHF,14740.0,14750.0,73043.0,538793.0,111496.0
20201023,AL2011.SHF,14725.0,14720.0,66741.0,491257.345,117229.0
20201022,AL2011.SHF,14725.0,14760.0,81168.0,598965.63,120331.0
20201021,AL2011.SHF,14720.0,14720.0,101219.0,744991.0925,121395.0
20201020,AL2011.SHF,14750.0,14770.0,76757.0,566941.27,127715.0
20201019,AL2011.SHF,14800.0,14835.0,115046.0,853436.1175,132210.0
